Namespace(dropout=0.0, batch_size=32, hidden_units=128, use_aux_loss=False, lr=0.0001, num_agents=18, num_steps=8, reduce='log', epochs=350, warmup=0, self_loops=True, node_readout=False, use_step_readout_lin=False, gumbel_temp=0.66666667, gumbel_min_temp=0.66666667, gumbel_warmup=-1, gumbel_decay_epochs=50, min_lr_mult=1e-07, weight_decay=0.01, num_pos_attention_heads=1, clip_grad=1.0, readout_mlp=True, post_ln=False, attn_dropout=0.0, no_time_cond=False, mlp_width_mult=2, activation_function='leaky_relu', negative_slope=0.01, input_mlp=True, attn_width_mult=1, importance_init=False, random_agent=False, test_argmax=False, global_agent_pool=True, agent_global_extra=False, basic_global_agent=False, basic_agent=False, bias_attention=True, visited_decay=0.9, sparse_conv=False, mean_pool_only=False, edge_negative_slope=0.01, final_readout_only=False, target='0', aux_loss=False, complete_graph=True)
---- Target: 0 ----
40 <class 'int'>
AgentNet
Epoch: 047, LR: 0.000098, Loss: 0.0150967, Validation MAE: 0.1374390, Test MAE: 0.1261651, Time: 1438.0827, Mem: 13.066, Cached: 26.162
Epoch: 048, LR: 0.000098, Loss: 0.0156631, Validation MAE: 0.1411517, Test MAE: 0.1261651, Time: 1449.5924, Mem: 13.066, Cached: 26.162
Epoch: 049, LR: 0.000098, Loss: 0.0148948, Validation MAE: 0.1257374, Test MAE: 0.1261651, Time: 1477.6287, Mem: 13.066, Cached: 26.162
Epoch: 050, LR: 0.000098, Loss: 0.0150985, Validation MAE: 0.1674464, Test MAE: 0.1261651, Time: 1441.2581, Mem: 13.067, Cached: 26.162
Epoch: 051, LR: 0.000097, Loss: 0.0139718, Validation MAE: 0.1393045, Test MAE: 0.1261651, Time: 1449.4891, Mem: 13.066, Cached: 26.162
Epoch: 052, LR: 0.000097, Loss: 0.0145515, Validation MAE: 0.1303710, Test MAE: 0.1261651, Time: 1436.2533, Mem: 13.067, Cached: 26.162
Epoch: 053, LR: 0.000097, Loss: 0.0135166, Validation MAE: 0.1256810, Test MAE: 0.1261651, Time: 1410.1914, Mem: 13.066, Cached: 26.162
Epoch: 054, LR: 0.000097, Loss: 0.0137666, Validation MAE: 0.1208119, Test MAE: 0.1203133, Time: 1455.6370, Mem: 13.483, Cached: 27.352
Epoch: 055, LR: 0.000097, Loss: 0.0128440, Validation MAE: 0.1148818, Test MAE: 0.1147426, Time: 1457.7145, Mem: 13.478, Cached: 23.514
Epoch: 056, LR: 0.000097, Loss: 0.0126994, Validation MAE: 0.1268054, Test MAE: 0.1147426, Time: 1408.0095, Mem: 13.067, Cached: 23.516
Epoch: 057, LR: 0.000097, Loss: 0.0128103, Validation MAE: 0.1505470, Test MAE: 0.1147426, Time: 1404.2914, Mem: 13.067, Cached: 23.516
Epoch: 058, LR: 0.000097, Loss: 0.0123880, Validation MAE: 0.1363579, Test MAE: 0.1147426, Time: 1424.1634, Mem: 13.067, Cached: 23.516
Epoch: 059, LR: 0.000097, Loss: 0.0129664, Validation MAE: 0.1333782, Test MAE: 0.1147426, Time: 1454.6467, Mem: 13.067, Cached: 23.516
Epoch: 060, LR: 0.000097, Loss: 0.0118241, Validation MAE: 0.1188486, Test MAE: 0.1147426, Time: 1458.4255, Mem: 13.067, Cached: 23.518
Epoch: 061, LR: 0.000096, Loss: 0.0117605, Validation MAE: 0.1129396, Test MAE: 0.1134376, Time: 1484.8109, Mem: 13.478, Cached: 23.518
Epoch: 062, LR: 0.000096, Loss: 0.0109109, Validation MAE: 0.1173249, Test MAE: 0.1134376, Time: 1453.6121, Mem: 13.067, Cached: 23.518
Epoch: 063, LR: 0.000096, Loss: 0.0107023, Validation MAE: 0.1223560, Test MAE: 0.1134376, Time: 1439.0894, Mem: 13.067, Cached: 23.518
Epoch: 064, LR: 0.000096, Loss: 0.0108066, Validation MAE: 0.1112645, Test MAE: 0.1111535, Time: 1499.1410, Mem: 13.478, Cached: 23.518
Epoch: 065, LR: 0.000096, Loss: 0.0107163, Validation MAE: 0.1382380, Test MAE: 0.1111535, Time: 1461.1803, Mem: 13.066, Cached: 23.518
Epoch: 066, LR: 0.000096, Loss: 0.0104312, Validation MAE: 0.1070990, Test MAE: 0.1084000, Time: 1481.1837, Mem: 13.478, Cached: 23.518
Epoch: 067, LR: 0.000096, Loss: 0.0104908, Validation MAE: 0.1072111, Test MAE: 0.1084000, Time: 1421.8129, Mem: 13.066, Cached: 23.518
Epoch: 068, LR: 0.000096, Loss: 0.0097278, Validation MAE: 0.1259577, Test MAE: 0.1084000, Time: 1406.1942, Mem: 13.067, Cached: 23.518
Epoch: 069, LR: 0.000095, Loss: 0.0095635, Validation MAE: 0.1250687, Test MAE: 0.1084000, Time: 1401.2059, Mem: 13.073, Cached: 26.713
Epoch: 070, LR: 0.000095, Loss: 0.0101308, Validation MAE: 0.1038239, Test MAE: 0.1034209, Time: 1444.8050, Mem: 13.481, Cached: 27.162
Epoch: 071, LR: 0.000095, Loss: 0.0093982, Validation MAE: 0.1031199, Test MAE: 0.1009035, Time: 1444.2053, Mem: 13.479, Cached: 24.863
Epoch: 072, LR: 0.000095, Loss: 0.0096685, Validation MAE: 0.1093443, Test MAE: 0.1009035, Time: 1397.5027, Mem: 13.070, Cached: 24.863
